distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354902.9595091,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
32,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354903.475169,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354903.9885216,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
32,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354904.4983785,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354905.0139675,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354905.515986,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354906.0295877,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739354906.5310972,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354907.0425744,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354907.5540454,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354908.0558655,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354908.5582926,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354909.0731518,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354909.5872436,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354910.0888052,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354910.6007674,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739354911.1145036,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
33,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354911.6262083,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
33,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354912.1377244,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
33,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354912.6507506,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
33,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354913.1613107,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
33,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354913.6739054,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
39,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739354914.1842558,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
32,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354914.700143,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
38,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354915.21468,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
32,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354915.71612,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
33,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354916.2197928,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
31,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354916.7233026,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
33,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354917.235133,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
33,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354917.7471604,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
32,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739354918.2583146,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
