distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363954.4028285,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363955.0250008,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363955.6510487,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363956.1609523,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363956.6742783,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363957.1885731,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363957.7008278,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363958.2142446,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363958.7277257,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363959.242876,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363959.7542663,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363960.2695308,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363960.7849522,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363961.305208,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363961.8162575,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363962.3338857,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363962.8480246,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363963.3605928,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363963.8755784,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363964.387427,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
73,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363964.901398,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
74,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363965.4157324,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363965.9275792,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363966.437153,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
83,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363966.9502363,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363967.466056,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
83,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363967.9764879,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
83,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363968.4921782,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363969.004462,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
83,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363969.5162113,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363970.022254,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
82,"[172, -13, -9, 0]","[83.31, 292.31, -2.65, 78.81]",1739363970.5321112,home,83.31,292.31,-2.65,78.81,bottom_right,172,-13,-9,0.0
83,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363971.0520604,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
82,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363971.565708,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
83,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363972.0793135,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
83,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363972.5899098,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
85,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363973.099505,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
86,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363973.6054757,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
85,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363974.114887,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363974.6286557,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363975.1363342,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363975.6446753,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363976.1540713,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363976.6678295,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363977.1853192,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363977.6982088,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363978.2123625,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363978.730207,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363979.24161,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363979.7540474,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363980.263673,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363980.777222,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363981.2916875,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363981.8017583,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363982.3189046,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739363982.8315496,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
