distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364095.4422143,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364095.9526966,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364096.4656234,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364096.982141,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364097.493468,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364098.0048819,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364098.517866,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364099.0324225,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364099.5431147,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364100.0573888,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364100.5686824,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364101.0826166,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364101.5948498,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364102.1078243,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364102.6234643,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364103.1357358,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364103.6498046,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364104.163558,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364104.6753526,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364105.191201,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364105.7042305,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364106.2164772,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364106.7293448,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364107.2430146,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364107.7561092,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
76,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364108.2713318,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739364108.7848618,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364109.2995977,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364109.81639,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364110.3284814,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364110.8365214,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364111.3537922,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364111.8670473,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364112.3772905,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
77,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364112.8919203,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
76,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739364113.4059954,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
