distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
64,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355282.1834092,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
65,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355282.6940715,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
64,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355283.206896,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
65,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355283.7154536,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
64,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355284.2261887,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
65,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355284.7268593,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
64,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355285.2420032,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
65,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355285.7568274,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
64,"[172, -13, -9, 0]","[146.0, 292.0, -9.0, 0.0]",1739355286.2703855,home,146.0,292.0,-9.0,0.0,bottom_right,172,-13,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355286.7784836,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355287.290723,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355287.805871,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355288.3064713,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355288.819338,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355289.3321142,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355289.8441844,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355290.357015,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
64,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355290.869024,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
65,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355291.375154,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
64,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355291.8840864,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
65,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355292.3959813,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
65,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355292.9064438,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
64,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355293.4191551,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
65,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355293.9343462,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
64,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355294.4482002,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
65,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355294.9638827,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
